result,number_of_fixations
6.404326623821414,0
6.413787647619166,1
6.494682470214393,1
6.577753183211388,1
6.57783852084099,2
6.5821153763498925,3
6.58215904900028,4
6.618872293858334,4
6.6664607513655945,3
6.668012136440999,4
6.675678212758025,5
6.705216117406921,4
6.705247546535746,4
6.71548416247462,4
6.7279377765529995,5
6.735092817407419,5
6.736143833982597,4
6.7725152959709645,4
6.805036813097946,5
6.805156460174467,6
6.822014836611597,6
6.832913463535875,6
6.834719887098668,5
6.870162500771393,6
6.913036450637968,5
6.920474336738092,5
6.922652459688697,6
6.938328973067413,7
6.940260348905874,8
6.945512336162077,9
6.960138152941112,9
6.969663471225036,9
6.987310043227171,9
7.009125160314619,9
7.014184730170382,10
7.014547029073315,10
7.027140470767673,10
7.0284655849546835,11
7.042472407951425,12
7.046617058681648,11
7.050981131211226,11
7.061351089311545,12
7.063106337550744,12
7.063258379056538,12
7.068377523148714,12
7.069365844092794,13
7.075281982984791,14
7.081225281754648,14
7.1000716260450165,15
7.102669854304902,14
7.105701580121359,13
7.108208549882632,14
7.112785098808055,14
7.12138005037137,14
7.125207375420805,14
7.12797358518461,14
7.134073222664711,14
7.139242200496652,14
7.1402044498470705,15
7.146990541186347,14
7.147214886646799,13
7.149184729639989,13
7.149230563125651,13
7.153820580801436,13
7.1542146047822746,12
7.1570863529275615,12
7.157720037944402,13
7.165838854835519,12
7.165989854624642,13
7.17071707265047,13
7.203046326673077,14
7.203333695557619,15
7.21045621852203,15
7.217564702846113,15
7.226130655200383,15
7.231398864450331,14
7.238361121663554,14
7.239326006823709,15
7.2445552149479475,14
7.249680715044317,15
7.257004514627327,14
7.279332509013877,14
7.2948117383701545,15
7.299646688247731,15
7.3012564980373735,16
7.301539487745295,16
7.305922647934311,17
7.312178468443126,16
7.320780019655958,15
7.3294301122694465,15
7.334935050741918,15
7.33561964087064,15
7.336470076760119,14
7.343965454175857,14
7.349764493589415,13
7.358381757071866,12
7.364806383711491,13
7.377025669561196,13
7.3801640056928495,14
7.38212743773992,14
7.385282627805099,15
7.3899508145124955,15
7.391177059298784,16
7.3974016261527,16
7.402359613037221,16
7.408576726723044,15
7.418176481852117,16
7.422048556916751,17
7.427046430199477,17
7.436303073236027,17
7.438540966931151,17
7.442207570995099,16
7.444473072739867,15
7.445958322794265,15
7.464636676475363,16
7.4743567332597705,16
7.48841123399648,17
7.49720614915231,17
7.498286278513399,18
7.513213080515794,19
7.5187037875909,19
7.522039459000235,18
7.527453156705219,19
7.528757265890596,20
7.530753314945322,20
7.532023601488832,20
7.542240888734581,19
7.548716274804169,19
7.55010126965313,19
7.551654177865687,19
7.551960254997363,19
7.552896361954038,19
7.5548877013966385,19
7.564223172265303,19
7.567963895012165,20
7.576975684024745,19
7.5776042670966675,19
7.579760096070462,18
7.580342959805503,19
7.584862876936359,19
7.588204117677707,18
7.590348409324772,18
7.5990449929628525,18
7.603403902194552,18
7.6119021131451285,18
7.618902850978735,18
7.621943623288104,19
7.623201884282599,18
7.627544094265715,18
7.635756630717763,17
7.640029358388275,17
7.640673067550806,18
7.649047701763984,19
7.654086698909371,20
7.656007216292012,21
7.670009399027721,21
7.673991486078487,21
7.681459721335246,20
7.6865086246517205,21
7.689988434613282,20
7.692848709613408,19
7.692853599782538,19
7.696619009739605,18
7.700498643454596,18
7.701537497507278,18
7.709214329047269,18
7.712225750908223,17
7.718170880615944,17
7.720032244447521,17
7.720541800699963,17
7.723445290560987,18
7.726233910462554,19
7.7262382387160295,20
7.728093893679298,20
7.731943645854009,20
7.732439396719673,20
7.736949272422871,20
7.748149022926614,20
7.74855777200127,21
7.759068490886497,20
7.761169900120629,20
7.763005680370043,20
7.764867025576348,20
7.7717023422021745,19
7.774044778438333,18
7.775914923530121,18
7.780402383775452,18
7.7837734978940105,17
7.78624717412759,16
7.786946508517057,16
7.789362049526115,17
7.790263187440231,16
7.790886887887294,16
7.79502658015547,15
7.803092625789954,16
7.821304063037917,17
7.828717311418293,17
7.838366725197554,18
7.844330068709521,18
7.847714911208685,18
7.847861260660648,18
7.864365221235863,18
7.867531483731038,17
7.869524180812698,17
7.878928714573102,17
7.881143122209919,17
7.882638680360438,18
7.882960740484866,17
7.884902075795658,18
7.88728813670556,18
7.902397842327645,17
7.9072763120629235,18
7.910130339570376,18
7.911662445617367,18
7.9132086690132315,18
7.9133214498756415,18
7.918314134978531,18
7.928353980842832,17
7.928580622535023,18
7.928996604480289,19
7.933020481277495,18
7.937473759612451,18
7.951925541526041,19
7.958248217556039,20
7.958681835083273,21
7.959199479591947,21
7.961455704019816,21
7.962820081187087,20
7.965476067104561,19
7.965565093616555,19
7.965576641258959,18
7.965631331095997,18
7.976525572206095,19
7.9797600728614615,20
7.981647133339693,20
7.982934436875813,20
7.993682952981094,20
7.995012439296629,20
7.998499302632427,21
7.998727754590307,21
8.001010883111858,20
8.005864824410022,19
8.00723079135518,19
8.010599685177985,19
8.018207817225369,19
8.019677672411817,19
8.020310612200426,20
8.023950044811626,21
8.025747100707068,22
8.030364585492682,21
8.034520546614862,21
8.038199577536835,21
8.038721619726218,20
8.041957049559361,20
8.044151762203219,20
8.046448447302527,20
8.047925748578674,20
8.048883822957475,19
8.049045650460974,19
8.050094944687261,18
8.054587634995917,18
8.056011365033646,17
8.06840471208243,17
8.078679404403497,16
8.082178275370344,16
8.08263200066755,16
8.083952870718772,16
8.086816532231342,16
8.10053699960259,16
8.105626522127384,16
8.106413961189006,17
8.107976565321508,16
8.110352283592162,15
8.110872338438206,15
8.122016055122028,15
8.128129608479215,16
8.131072931553277,15
8.152727673109123,14
8.153474969825472,14
8.160304318372013,15
8.164265541581216,16
8.168049903465738,16
8.16959251783561,16
8.177932464601712,16
8.179647008618357,16
8.184948938275816,17
8.1849729433308,17
8.193618829402116,17
8.203445594191674,16
8.208165274709517,16
8.21027202700234,15
8.2171429165347,15
8.218168447671959,14
8.218280029362429,15
8.219377074955586,14
8.222416800751057,14
8.225160167983333,15
8.22591736779393,16
8.226878178706519,16
8.241038797801343,16
8.242579038156933,15
8.256814081093225,14
8.258393231032837,13
8.26088584710058,12
8.288218041888834,12
8.294158961305337,11
8.336779690283388,10
8.35476145658606,10
8.371502491108872,10
8.371587027298023,10
8.390238663214246,10
8.39770086900716,10
8.398140265073243,10
8.405877183237992,11
8.406239286671573,11
8.41840449080531,12
8.443279179036983,12
8.444482564941175,13
8.44815155934127,12
8.453156216233362,13
8.464810628699242,13
8.468961654024776,13
8.470394648677111,12
8.470679944660388,12
8.474519539690396,11
8.488309368877033,11
8.496215333906086,11
8.502770881238465,11
8.503227202441646,11
8.514571031258951,11
8.527916300931015,12
8.529021564863855,12
8.539303982990237,13
8.543905635527556,13
8.54848346192772,12
8.562833159630925,12
8.564344667184885,13
8.577689192750514,13
8.584771392141088,12
8.586508072518162,12
8.596467945323495,12
8.611724251132697,12
8.61731845555835,12
8.617716937779624,12
8.643464424509403,11
8.643876303398883,12
8.644670063817864,12
8.646411760425856,12
8.667365207514553,12
8.671707839538037,12
8.671760140961826,11
8.680902123182298,12
8.688645895776927,12
8.704063135133175,12
8.710177254003751,12
8.710845667248542,13
